concept_code,concept_name,date,overall_sentiment,overall_importance,overall_impact,overall_duration,news_consistency,fcast_ret,close,high,low,open,volume
884028.WI,智能电网指数,2025-09-05,0.85,8.5,8.0,8.5,9.0,8.5,4613.3157,4613.3157,4483.9864,4494.4995,1551014300.0
884028.WI,智能电网指数,2025-09-08,0.75,8.5,8.0,8.5,8.0,8.5,4693.8694,4694.0063,4628.2459,4633.9567,1632104400.0
884028.WI,智能电网指数,2025-09-09,0.75,7.8,7.5,7.5,8.5,7.2,4649.554,4705.5485,4623.2636,4691.3317,1363402800.0
884028.WI,智能电网指数,2025-09-10,0.85,8.7,7.8,8.3,9.2,7.4,4622.0517,4657.5929,4585.9649,4647.5166,1049290000.0
884028.WI,智能电网指数,2025-09-11,0.75,7.5,7.0,7.0,8.0,7.0,4699.8921,4700.1641,4575.6984,4613.0658,1259462900.0
884028.WI,智能电网指数,2025-09-12,0.65,8.3,7.8,8.5,8.7,7.2,4683.4108,4731.9043,4674.6904,4709.4687,1267975200.0
884028.WI,智能电网指数,2025-09-15,0.85,8.5,8.0,8.5,9.0,7.5,4678.6241,4701.1438,4659.1786,4683.38,1196469900.0
884028.WI,智能电网指数,2025-09-16,0.8,8.5,8.0,8.5,8.0,8.0,4723.1593,4723.2114,4632.4575,4670.1672,1223158700.0
884028.WI,智能电网指数,2025-09-17,0.75,8.3,8.0,8.5,8.0,7.2,4764.3583,4765.8612,4700.6893,4715.4517,1459177500.0
884028.WI,智能电网指数,2025-09-18,0.65,7.5,7.8,8.0,8.5,6.5,4677.9445,4780.0987,4635.0042,4758.6447,1656979900.0
884028.WI,智能电网指数,2025-09-19,0.85,9.2,8.7,9.5,8.8,7.3,4687.8396,4718.9541,4659.9566,4688.0316,1306312000.0
884028.WI,智能电网指数,2025-09-22,0.75,8.3,7.8,7.5,8.2,7.2,4700.6885,4703.2559,4652.2797,4699.1637,1142336400.0
884028.WI,智能电网指数,2025-09-23,0.75,8.3,7.8,7.5,8.2,6.8,4696.8118,4728.2679,4591.1472,4711.2782,1663763500.0
884028.WI,智能电网指数,2025-09-24,0.75,8.2,7.8,8.5,8.0,7.5,4752.0656,4752.1617,4639.7387,4662.328,1450576000.0
884028.WI,智能电网指数,2025-09-25,0.5,7.2,6.8,8.0,8.5,6.5,4767.3633,4785.0056,4734.4299,4751.1163,1577336900.0
884028.WI,智能电网指数,2025-09-26,0.75,8.3,7.8,8.5,8.9,7.2,4760.7471,4832.7455,4744.3868,4749.5336,1624726700.0
884028.WI,智能电网指数,2025-09-29,0.75,8.3,7.8,7.5,8.2,7.2,4801.3576,4830.4812,4735.9223,4770.6072,1593436200.0
884028.WI,智能电网指数,2025-09-30,0.65,7.5,6.8,7.2,8.0,6.5,4858.2252,4875.1003,4792.8705,4798.0063,1775803300.0
884028.WI,智能电网指数,2025-10-09,0.75,7.5,8.2,8.0,8.5,7.3,4940.8607,4951.2639,4887.9253,4888.9632,1991559500.0
884028.WI,智能电网指数,2025-10-10,0.68,8.3,7.2,7.8,8.5,6.4,5000.1824,5026.0197,4892.5976,4927.3356,2261405000.0
884028.WI,智能电网指数,2025-10-13,0.75,8.3,7.8,8.0,8.5,7.5,4999.9149,5003.6383,4791.164,4806.9413,2065994800.0
884028.WI,智能电网指数,2025-10-14,0.75,7.8,7.5,7.2,8.5,7.0,4965.1492,5105.8185,4938.7514,5034.5656,2187875900.0
884028.WI,智能电网指数,2025-10-15,0.8,8.5,8.0,9.0,9.0,7.5,5108.0656,5108.0656,4929.8664,4957.6639,2102785600.0
884028.WI,智能电网指数,2025-10-16,0.55,7.3,6.8,7.5,7.0,6.2,5087.6556,5185.7606,5069.9531,5175.8639,2368140500.0
884028.WI,智能电网指数,2025-10-17,0.65,7.5,7.0,8.0,8.5,5.5,4816.1077,5073.9264,4812.5765,5072.8649,2342946600.0
884028.WI,智能电网指数,2025-10-20,0.75,7.5,7.5,8.5,8.5,7.5,4895.2428,4945.9218,4860.1108,4875.363,1730817500.0
884028.WI,智能电网指数,2025-10-21,0.75,7.3,7.8,8.5,8.0,6.8,4979.4499,4980.5696,4891.9545,4909.8709,1670746300.0
884028.WI,智能电网指数,2025-10-22,0.75,7.3,7.8,7.5,8.2,6.8,4923.5804,4946.292,4890.1664,4946.292,1466984700.0
884028.WI,智能电网指数,2025-10-23,0.75,7.5,7.2,8.0,9.0,7.3,4923.311,4927.6886,4833.7166,4906.6925,1350774600.0
884028.WI,智能电网指数,2025-10-24,0.85,8.3,7.8,8.5,8.7,7.4,4982.7072,4984.0927,4935.5619,4935.5619,1336490600.0
884028.WI,智能电网指数,2025-10-27,0.85,8.3,7.8,8.5,8.7,7.4,5016.5305,5023.4478,4970.75,5000.5931,2017132300.0
884028.WI,智能电网指数,2025-10-28,0.75,8.3,7.8,8.5,8.2,7.2,4982.2729,5014.4871,4970.4239,4991.6792,1581318800.0
884028.WI,智能电网指数,2025-10-29,0.6,8.0,8.0,8.0,8.5,8.0,5067.0215,5067.5454,4961.827,4973.3359,2324113100.0
884028.WI,智能电网指数,2025-10-30,0.45,6.8,6.5,7.2,8.0,6.3,4940.8024,5039.8534,4936.8121,5039.4764,2046675400.0
