factor,IC_mean,IC_std,ICIR,N_days
alpha3,0.035368701575682435,0.15793372181919324,0.22394648317205793,40
alpha8,0.024505551221355896,0.07884668063375257,0.3108000365314757,49
alpha6,0.02059139202676432,0.07391595575400697,0.2785784451640276,45
alpha43,0.015416713146746948,0.1576760809545246,0.09777458352223561,30
alpha22,0.01532706833269996,0.06984822968479551,0.21943388403494987,49
alpha41,0.014283395109182608,0.06454893074398996,0.22128011950860257,49
alpha25,0.011037098452552706,0.07078825217057683,0.15591709237228887,45
alpha9,0.010769408167461438,0.059900797941535244,0.1797873907785446,45
alpha15,0.01012344237947622,0.06288389973267204,0.16098623689867106,45
alpha21,0.00776708736735233,0.07360425686689313,0.10552497502146416,45
alpha42,0.007313356384094211,0.16895622819156692,0.04328550928470148,49
alpha39,0.006728030512927717,0.09898217723327594,0.06797214105597467,49
alpha2,0.006092497678141321,0.054055457391642046,0.11270828094192266,49
alpha5,0.005878364843087905,0.05586036975159872,0.10523318891779562,49
alpha32,0.005592496066279968,0.05389858301142747,0.10375961210509482,45
alpha30,0.005508305284742492,0.09803756743202702,0.056185658508526325,47
alpha12,0.004654105280638935,0.05603465977202377,0.08305761647476932,45
alpha44,0.0046309998227194215,0.18370864078520285,0.025208394133916175,49
alpha36,0.004423743253110301,0.07542720553303052,0.05864917335659596,49
alpha34,0.002933109748881178,0.05596242933174701,0.05241212334606871,40
alpha31,0.0008261786636491355,0.17553643088969778,0.004706593722235832,45
alpha20,5.570577161855143e-17,8.915086655839428e-17,0.6248483471785871,11
alpha28,-1.095044885594637e-17,1.0262133179226172e-16,-0.10670733525572995,23
alpha33,-1.095044885594637e-17,1.0262133179226172e-16,-0.10670733525572995,23
alpha13,-0.0013717394471767926,0.06827844213495753,-0.02009037412519526,49
alpha48,-0.002151650594676037,0.05715550095528185,-0.03764555569829536,49
alpha35,-0.0028719490422006847,0.07195392431873629,-0.039913723530612906,40
alpha4,-0.00302574478514315,0.07166876294264246,-0.042218459771165534,40
alpha16,-0.003080509693950886,0.0720658223740529,-0.04274577868495975,49
alpha23,-0.004079526230123393,0.08016797744585341,-0.05088722904202945,40
alpha29,-0.004430731185852649,0.07034970718874892,-0.06298151567233899,45
alpha14,-0.005355031816406228,0.053834330958915114,-0.09947243182966352,43
alpha11,-0.00656738845783206,0.0666710437654749,-0.0985043594177677,49
alpha7,-0.007328537130000906,0.15553914438645136,-0.04711699526771524,40
alpha18,-0.008100032826650911,0.046538099453741356,-0.1740516463226502,40
alpha37,-0.009929285952573166,0.1001758317355074,-0.09911857761050885,49
alpha46,-0.010619299888414037,0.12516907190011542,-0.08483964710458355,49
alpha38,-0.011177456387863969,0.2402737449988635,-0.04651967441518356,49
alpha19,-0.01206399358497577,0.056514460589892825,-0.2134673755894137,49
alpha24,-0.012753871182771208,0.0510212922655702,-0.24997154357412618,45
alpha17,-0.013838565072204287,0.05931010711687034,-0.23332557880793314,40
alpha47,-0.014285090279771,0.08317683943067604,-0.17174360528181581,49
alpha26,-0.01453014508382378,0.06463794013359797,-0.22479282374704262,49
alpha1,-0.015024963207459895,0.13058001230665184,-0.11506326996030244,30
alpha45,-0.016006121106551526,0.1098094813983225,-0.14576265093622456,40
alpha40,-0.01634408434254151,0.06740857109153808,-0.24246299955456574,49
alpha50,-0.017141659639965185,0.12945228672833559,-0.13241681605778136,49
alpha27,-0.020497092821481596,0.09083179339310843,-0.22565989347774726,40
alpha10,-0.02090566040838804,0.10099649782906099,-0.20699391422236615,49
alpha49,-0.03622887791834744,0.13588090915416795,-0.26662228081829237,49
